"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43050","orderGiftWrap","All Test Suite","Mon Nov 18 23:35:35 BDT 2024","passed","Mon Nov 18 23:36:18 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","orderGiftWrap"
"","18870","goToNextPage","All Test Suite","Mon Nov 18 23:32:33 BDT 2024","passed","Mon Nov 18 23:32:52 BDT 2024","TestCases.TestWriterPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestWriterPage","goToNextPage"
"","27424","selectCity","All Test Suite","Mon Nov 18 23:30:04 BDT 2024","passed","Mon Nov 18 23:30:32 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","selectCity"
"","4","TestPageTitle","All Test Suite","Mon Nov 18 23:27:08 BDT 2024","passed","Mon Nov 18 23:27:08 BDT 2024","TestCases.TestHomePage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestHomePage","TestPageTitle"
"","10297","searchWriter","All Test Suite","Mon Nov 18 23:27:25 BDT 2024","passed","Mon Nov 18 23:27:35 BDT 2024","TestCases.TestWriterPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestWriterPage","searchWriter"
"","39870","writePostOffice","All Test Suite","Mon Nov 18 23:32:55 BDT 2024","passed","Mon Nov 18 23:33:35 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","writePostOffice"
"","41205","selectArea","All Test Suite","Mon Nov 18 23:30:35 BDT 2024","passed","Mon Nov 18 23:31:16 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","selectArea"
"","21918","selectBook","All Test Suite","Mon Nov 18 23:33:39 BDT 2024","passed","Mon Nov 18 23:34:01 BDT 2024","TestCases.TestWriterPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestWriterPage","selectBook"
"","23487","removeExtraBooks","All Test Suite","Mon Nov 18 23:28:05 BDT 2024","passed","Mon Nov 18 23:28:28 BDT 2024","TestCases.TestShoppingCartPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestShoppingCartPage","removeExtraBooks"
"","23390","checkShoppingCartPageWithAddMoreQuantityBooks","All Test Suite","Mon Nov 18 23:27:38 BDT 2024","passed","Mon Nov 18 23:28:02 BDT 2024","TestCases.TestShoppingCartPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestShoppingCartPage","checkShoppingCartPageWithAddMoreQuantityBooks"
"","49142","logoutFromThisSite","All Test Suite","Mon Nov 18 23:31:20 BDT 2024","passed","Mon Nov 18 23:32:09 BDT 2024","TestCases.TestLogOutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestLogOutPage","logoutFromThisSite"
"","17380","filterBookPublishers","All Test Suite","Mon Nov 18 23:32:12 BDT 2024","passed","Mon Nov 18 23:32:30 BDT 2024","TestCases.TestWriterPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestWriterPage","filterBookPublishers"
"","47120","goToHomePageForLogout","All Test Suite","Mon Nov 18 23:29:00 BDT 2024","passed","Mon Nov 18 23:29:48 BDT 2024","TestCases.TestLogOutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestLogOutPage","goToHomePageForLogout"
"","9","TestPageUrl","All Test Suite","Mon Nov 18 23:27:01 BDT 2024","passed","Mon Nov 18 23:27:01 BDT 2024","TestCases.TestHomePage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestHomePage","TestPageUrl"
"","42948","termsAndCondition","All Test Suite","Mon Nov 18 23:36:21 BDT 2024","passed","Mon Nov 18 23:37:04 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","termsAndCondition"
"","10202","goToAuthorBooksPage","All Test Suite","Mon Nov 18 23:29:51 BDT 2024","passed","Mon Nov 18 23:30:01 BDT 2024","TestCases.TestWriterPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestWriterPage","goToAuthorBooksPage"
"","43434","writeOrderNote","All Test Suite","Mon Nov 18 23:34:48 BDT 2024","passed","Mon Nov 18 23:35:31 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","writeOrderNote"
"","40622","writeAddress","All Test Suite","Mon Nov 18 23:34:04 BDT 2024","passed","Mon Nov 18 23:34:44 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","writeAddress"
"","25626","enterAlternatePhoneNumber","All Test Suite","Mon Nov 18 23:28:32 BDT 2024","passed","Mon Nov 18 23:28:57 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","enterAlternatePhoneNumber"
"User Login With ValidCredentials","5234","loginWithValidData","All Test Suite","Mon Nov 18 23:27:17 BDT 2024","passed","Mon Nov 18 23:27:22 BDT 2024","TestCases.TestLoginPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestLoginPage","loginWithValidData"
"","43149","cashOnDelivery","All Test Suite","Mon Nov 18 23:37:08 BDT 2024","passed","Mon Nov 18 23:37:51 BDT 2024","TestCases.TestCheckoutPage","D:/Rahul Personal/Web Automation/BookHouse.com.bdAutomationProjectPOM/BookHouseAutomationPOM/src/test/java/TestCases","TestCases.TestCheckoutPage","cashOnDelivery"
